CESIGL.Index,InflGrowthSurpPC1,US_RB_QS_Level,US_NB_Slope_QS,RepSouCDSCurve_QS_PC1
-8.0,0.2673147575641551,0.259,0.997,-351.8925430116658
-11.4,0.2412610817297163,0.306,0.962,-363.9071116290978
-7.3,0.3563285216413281,0.142,0.912,-381.0886963955904
0.8,0.3701916998997206,0.07,0.863,-406.4291737753912
-6.4,0.4711236133585197,0.151,0.92,-372.9766803705712
-4.0,0.4425648993127606,0.29,0.932,-356.1253355820944
-1.4,0.4905415961805134,0.328,0.968,-346.3881513218872
0.9,0.3984219138454353,0.288,0.97,-336.055071006815
1.2,0.5855258512737852,0.447,1.0,-352.8407198011242
4.3,0.5577675613294925,0.358,0.992,-343.4916420121159
5.7,0.5749425350340832,0.291,0.959,-329.6576225922504
11.0,0.5879208597655172,0.517,0.964,-317.4469466068171
11.2,0.5741574945193355,0.664,0.999,-322.9584548798185
8.9,0.5298387804152044,0.511,0.961,-306.6414570759389
18.4,0.506607225640135,0.342,0.892,-350.4467627268844
17.5,0.5625541803943743,0.181,0.85,-352.4611512345492
21.4,0.4179366740733148,0.281,0.807,-332.6644109114919
26.0,0.4688837743253731,0.329,0.923,-322.0797135774811
21.5,0.4460498682167746,0.171,0.782,-326.4737175067353
32.0,0.3708972674177057,0.159,0.797,-358.1007067528195
31.9,0.3374909672151517,0.205,0.826,-359.9485890359196
28.1,0.3311747593017194,0.155,0.837,-397.039829911002
31.3,0.1673340852990876,0.152,0.855,-363.7346191439069
34.0,0.1427731869670828,0.119,0.881,-360.1466528773173
28.6,0.0892777162195014,0.098,0.778,-344.4905741639037
32.5,0.112669021846337,0.102,0.75,-335.2301158595653
33.1,0.1033731204029394,0.151,0.737,-324.3924511804059
33.6,0.05598257489576827,0.067,0.704,-302.0514844365474
29.6,0.03077139529872502,0.211,0.762,-293.0290328610041
30.7,0.006170495055961562,0.2,0.694,-275.115894461407
33.3,0.1020986422323314,0.078,0.643,-262.1752834723775
31.7,0.1014019238221947,0.054,0.604,-276.6576414824717
24.1,0.1166536741597914,0.029,0.578,-268.3313873292024
22.0,0.02044396533276673,0.001,0.54,-274.984118708919
21.5,0.01111887215303762,0.001,0.659,-312.6254375988653
20.7,-0.2794914427864004,0.007,0.623,-264.0295453391537
14.1,-0.2700019526703176,0.015,0.628,-267.9326721844288
11.3,-0.2642173928654009,0.013,0.633,-278.4323766239089
18.7,-0.2710182918317699,0.003,0.617,-256.3258421384376
19.1,-0.3178294015494654,0.016,0.684,-272.3692227181255
13.3,-0.3411995812569008,0.022,0.676,-307.4798573631353
11.9,-0.3749060127046706,0.031,0.746,-282.7839651834706
-1.5,-0.3833876227069447,0.045,0.68,-283.4051274682224
-12.0,-0.3973609983121337,0.029,0.615,-289.5255428765871
-14.4,-0.3977635068492777,0.004,0.544,-290.122416728586
-8.0,-0.4676162537496366,0.008,0.539,-298.6179453775946
-16.7,-0.4020854115379732,0.012,0.541,-318.915843415169
-18.4,-0.2437117479058895,0.005,0.517,-302.120996271447
-21.8,-0.2397926075410753,0.004,0.521,-341.5262950689125
-23.3,-0.2107651794404491,0.01,0.616,-311.4981469482818
-21.1,-0.3018752313645279,0.031,0.664,-332.2639928636348
-28.6,-0.3088099665017819,0.026,0.647,-365.8611535520071
-31.6,-0.3887081972168221,0.028,0.53,-392.3917452459348
-25.9,-0.3318466876893446,0.045,0.589,-378.6665082016355
-20.1,-0.3942374889646425,0.066,0.637,-412.7365813163619
-7.7,-0.4004603843498987,0.096,0.671,-389.6046946400911
-2.5,-0.4241563756272464,0.076,0.659,-345.5096372984462
-4.6,-0.3919429890487434,0.035,0.618,-349.5541935066739
-5.1,-0.4004064970123988,0.007,0.552,-342.9686537234523
-8.7,-0.2992365614479821,0.015,0.662,-347.2056665712609
-7.7,-0.2844389154717035,0.042,0.782,-394.7990627508175
-8.3,-0.262473595574195,0.031,0.798,-427.4121426292806
-7.0,-0.2318480584973011,0.081,0.819,-397.4887025652971
-4.5,-0.2276440342960276,0.055,0.876,-441.6704206897549
-1.8,-0.2722250855378349,0.013,0.723,-464.3296848737664
-6.0,0.04689819892160143,0.001,0.604,-421.8151353955807
-5.6,0.05648826804822899,0.003,0.625,-405.2629573834718
-7.7,0.1163938261285773,0.009,0.595,-387.0330852312774
-8.4,0.1153112346965973,0.001,0.492,-425.4274662584442
-5.2,0.1708594408652108,0.004,0.676,-434.3209106188701
-10.0,0.1626910631768326,0.001,0.622,-421.0492924280005
-13.5,0.2033463629173511,0.017,0.928,-447.9892069381262
-15.3,0.1356544522966099,0.001,0.72,-431.2226389685306
-13.7,-0.004260762367452746,0.002,0.691,-427.3522227230898
-14.4,-0.01725476553270975,0.022,0.978,-435.767321267171
-18.5,-0.001294618557005684,0.01,0.99,-455.8327773422367
-19.1,0.07744168232864074,0.024,0.995,-441.358353881672
-16.2,0.1289739283337257,0.047,1.0,-431.7987471445263
-18.4,0.1275919048145859,0.015,1.0,-427.8363766363661
-22.0,0.1037653333548776,0.033,0.999,-427.1894161695736
-22.1,0.09657682635396796,0.055,1.0,-428.1486002980005
-23.4,0.1059436139778002,0.078,0.997,-423.0392743830453
-26.3,0.09518459623587347,0.09,0.995,-395.204299514818
-22.4,0.1427614866075048,0.067,0.981,-377.8777285539621
-20.3,0.1467242751856265,0.067,0.982,-358.1610580393117
-11.8,0.2060521164344359,0.128,0.985,-330.6676279161121
-13.6,0.2100579398079904,0.154,0.998,-350.5430220959527
-25.4,0.3015647590682403,0.175,0.986,-359.3954696562282
-22.1,0.3100868387455825,0.239,0.997,-348.0570514821011
-32.4,0.3686248468350372,0.188,0.973,-340.4012775433555
-29.6,0.3228884824194228,0.272,0.999,-350.5531663015167
-26.8,0.4127197316720825,0.314,1.0,-333.8580925771104
-27.1,0.3702748612171947,0.387,1.0,-380.3258322608395
-26.2,0.5005466403384946,0.39,0.995,-386.037028901549
-27.5,0.5042494667398872,0.327,0.991,-345.9178224306471
-23.9,0.4464100211690062,0.328,0.979,-346.5322715550266
-19.1,0.4378444960580704,0.325,0.979,-341.3287397070516
-22.4,0.4480215672566642,0.419,0.994,-354.3602454280853
-20.8,0.6497898876014907,0.325,0.981,-355.535992482253
-20.2,0.7271620952221722,0.349,0.991,-351.2119587818605
-22.5,0.7653512335907003,0.38,0.994,-369.6001088144256
-21.7,0.7645496530916138,0.37,0.995,-366.7548161267492
-18.8,0.8092918776350206,0.569,1.0,-384.1125898623282
-29.3,0.8209410727270763,0.689,0.993,-386.6464665256503
-26.6,0.8893987497866249,0.518,0.994,-384.6279375781305
-26.3,0.8898877983092707,0.714,0.98,-328.2801091074227
-27.7,0.8539511967841135,0.709,0.986,-315.8551013626907
-27.9,0.8773128632789927,0.643,0.973,-310.9383025628835
-25.7,0.7418272357815779,0.682,0.96,-302.9739614077118
-21.4,0.7509773353208757,0.769,0.961,-295.8234694504088
-22.5,0.7483769405344419,0.67,0.961,-320.9168325527916
-26.8,0.8333124795335958,0.789,0.981,-352.5048808492989
-25.1,0.9003717142225273,0.833,0.983,-361.4893274708967
-23.1,0.742276966548537,0.846,0.99,-363.5080136528418
-18.0,0.7347919614133289,0.858,0.996,-365.1658900506242
-14.0,0.7209004619982579,0.87,0.997,-339.1964623489311
-7.8,0.6794204817261156,0.842,0.981,-306.4849682286682
0.1,0.5510582803614003,0.682,0.898,-311.3651163606696
5.9,0.4780747791632125,0.794,0.932,-344.3341165232976
-2.0,0.5246760527792906,0.779,0.925,-364.3364479213606
-6.5,0.5645754499144238,0.841,0.939,-371.6647988145879
-10.5,0.7773688168874914,0.72,0.848,-358.589392235612
-11.7,0.7796339689891432,0.813,0.843,-340.5559044558916
-11.5,0.7626770046742929,0.803,0.834,-309.6385109835675
-9.8,0.8711617904606846,0.814,0.817,-359.8651333784666
-6.4,0.8338320001717309,0.767,0.779,-338.6985607194915
-12.2,0.8315827456687551,0.763,0.801,-343.1218793747764
-13.4,0.7963089694557791,0.792,0.802,-352.9137287314729
-11.3,0.8035408194839945,0.775,0.818,-355.1708137835731
-12.8,0.7857524734626561,0.792,0.77,-356.8711886383217
-14.1,0.8930794439600612,0.818,0.769,-327.0741379588186
-11.1,0.789558702836789,0.792,0.757,-310.1389822990178
-9.4,0.7719571848808431,0.808,0.787,-307.4699585739526
-6.9,0.7267721285525094,0.887,0.812,-309.17285614525
0.1,0.7394819762829823,0.859,0.777,-310.7096625549969
5.8,0.843527520311684,0.85,0.793,-322.0841988624005
11.0,0.8195140037904484,0.898,0.841,-334.4188112620734
10.4,0.7554043453653173,0.994,0.901,-352.1405092900965
16.2,0.6952906113933047,0.981,0.878,-336.0361641752661
16.4,0.6461422718701593,0.982,0.869,-316.0941415328813
21.9,0.3790131842961462,0.996,0.892,-323.070371165033
22.5,0.4667482048161607,1.0,0.909,-336.9782388046909
13.5,0.4810854992196374,1.0,0.703,-336.9782388046909
15.6,0.5500111865343807,0.775,0.688,-597.7322694284012
3.0,0.5500318470359861,0.714,0.642,-748.4304838299349
-15.3,0.5560613707342291,0.976,0.676,-790.3819751258355
-15.4,0.7217184151436966,0.996,0.691,-982.2562510243588
-23.4,0.8746564180107329,0.996,0.738,-756.3230893434541
-40.5,0.8145945787776908,0.982,0.709,-785.2529968034127
-65.4,0.7290327434787495,0.99,0.691,-834.3357922156524
-75.7,0.8922534040732293,0.977,0.684,-856.1711837301326
-59.2,0.1232202819420442,0.984,0.727,-806.8442668441495
-70.5,0.6735854904296857,0.987,0.739,-796.4745083783996
-58.0,0.6314669594798668,0.987,0.732,-703.0139391995185
-47.7,0.1952006584523669,0.995,0.78,-680.590613915431
3.2,0.2788472470906924,0.969,0.675,-504.1960846424723
-5.0,0.2928983076092969,0.997,0.746,-562.2153176343335
-5.4,0.1752438576308583,0.999,0.737,-545.261656175794
17.5,0.1401645814916666,1.0,0.76,-597.7214238884083
25.0,0.0329107467794798,0.999,0.755,-554.3154813466416
38.5,0.1178686284830211,0.998,0.725,-623.1060021280772
57.5,-0.09653117925184757,1.0,0.714,-640.5952062248506
73.0,-0.08957090461775591,0.997,0.738,-576.5289908564861
90.5,0.03151517490854452,1.0,0.75,-608.0182031595153
98.9,-0.09792868363844663,0.998,0.744,-606.6664809695732
115.9,-0.8901045356100084,0.99,0.681,-589.7241012012877
107.6,-0.982298088932408,0.992,0.687,-577.5133664130369
108.9,-1.000018343603874,1.0,0.699,-562.2375869321235
84.5,-1.04743201554543,0.984,0.673,-553.2140002003781
94.2,-1.2917362587144,0.979,0.733,-564.0050996698204
91.7,-1.332747751846551,0.98,0.702,-545.3474773847412
87.1,-1.36167994475956,0.959,0.72,-637.9780651210829
83.5,-1.738582074783767,0.958,0.695,-616.1714705427237
78.6,-1.713139719483037,0.957,0.623,-534.5289217799631
68.9,-1.831197745639903,0.953,0.639,-546.5893294382413
59.3,-1.900034422009438,0.965,0.588,-516.0272636560808
82.5,-2.012726186874357,0.933,0.596,-544.8813025368524
72.5,-2.080225391370455,0.927,0.586,-487.5975941231236
59.8,-1.90158726128874,0.929,0.556,-436.2388794734876
65.4,-1.91062173430432,0.932,0.563,-450.8186227854879
72.9,-2.0312780527019,0.965,0.569,-438.3274455422052
76.1,-1.999118948732154,0.992,0.56,-386.6858868037206
81.8,-2.079518219227338,0.995,0.579,-392.1134643043309
94.8,-2.040880558005524,0.999,0.565,-381.8097761294327
90.0,-1.879311308307538,0.999,0.583,-403.2020145936169
85.8,-1.931788741526883,0.999,0.586,-387.199218092662
85.7,-2.014123306357656,0.982,0.501,-420.5991329988479
83.0,-1.958386903615606,0.994,0.542,-443.1758516967522
81.6,-1.994731901367982,0.999,0.549,-438.2211621131993
77.2,-2.233367855438956,0.999,0.506,-435.8198694399782
81.2,-2.322334189718462,0.999,0.488,-388.4122367973144
74.8,-2.132353165393464,0.998,0.476,-397.2298793126018
83.9,-2.859633358173703,0.959,0.468,-413.157663453204
83.2,-2.969498484631748,0.935,0.448,-455.179584265336
75.9,-2.912687662383579,0.919,0.442,-447.9840777642249
64.0,-2.799290450388135,0.915,0.435,-412.9263720731008
41.1,-2.464938064737788,0.871,0.397,-403.0164334776073
49.1,-2.263982674087832,0.928,0.418,-453.1845681940569
57.5,-2.257950391558603,0.886,0.324,-438.5149208154975
57.6,-2.467348264347098,0.895,0.376,-408.8235093701219
61.3,-2.595174889473109,0.947,0.403,-365.1193705181196
67.0,-2.583335592876411,0.897,0.393,-373.5718419777872
77.5,-2.686266495546889,0.919,0.36,-379.0261954243923
75.7,-2.680198816350698,0.977,0.436,-364.8493048028921
77.5,-3.311207830500211,0.975,0.397,-356.4346315754978
72.9,-3.207585490311601,0.954,0.354,-334.4397558133312
71.4,-3.37044378552711,0.959,0.421,-335.3791122682646
72.3,-3.380722593699974,0.953,0.421,-323.6076166962271
88.7,-3.629333334966018,0.923,0.425,-313.825274697293
82.1,-3.663901016969163,0.842,0.26,-339.6641519862251
70.7,-3.485779676597963,0.874,0.241,-318.3903182065752
62.3,-3.43308812898732,0.927,0.299,-329.489948636414
50.9,-3.367451073045154,0.935,0.327,-335.5975140168432
48.8,-3.972400550247551,0.977,0.314,-347.7882780886211
40.5,-3.871918741157797,0.993,0.375,-371.7604261734522
26.6,-3.745845437998313,1.0,0.425,-369.0543922812604
22.8,-3.693612868489548,0.976,0.348,-367.9013676033244
14.6,-3.810575444249465,0.975,0.312,-362.5565145352848
4.3,-3.721769273926988,0.921,0.305,-372.6247630161243
-5.6,-3.695943756235031,0.979,0.324,-344.892023617107
-11.2,-3.567293364254462,0.949,0.333,-320.6224206922484
-14.0,-3.497024525778396,0.971,0.306,-315.5667959234523
-18.9,-3.295586575024428,0.902,0.258,-324.107096423515
-25.0,-3.247433919568461,0.815,0.146,-361.3823371786561
-18.0,-3.284003436016167,0.857,0.225,-379.3276425972791
-23.9,-3.218985245394138,0.852,0.094,-409.3459826455332
-24.6,-2.987278814452371,0.879,0.006,-400.7984409853893
-23.9,-2.864772433741495,0.924,0.001,-376.4435652742661
-25.1,-2.778119800620386,0.922,0.007,-376.4157484645219
-24.5,-2.794978425664672,0.99,0.057,-342.74292241556
-20.5,-3.021827500315689,0.999,0.001,-342.3851336184158
-10.5,-3.035865155777692,0.98,0.003,-361.6999172747531
-3.4,-3.040148038749442,0.966,0.021,-446.8535924831959
4.1,-2.883087715402443,0.903,0.012,-418.4012276674572
5.6,-2.856295102367042,0.805,0.007,-394.5231827207419
7.4,-2.994458709641676,0.791,0.019,-388.8335738279712
11.6,-3.075315504389593,0.787,0.021,-369.6263862228979
13.7,-2.996430087381435,0.896,0.024,-361.072775567741
14.0,-2.891704072851434,0.619,0.001,-339.2917807591169
14.9,-2.76953833018732,0.61,0.001,-368.1047480812073
20.1,-2.701475700629269,0.602,0.01,-362.7606661735244
29.9,-2.728711066405786,0.608,0.007,-376.3142573933249
26.9,-2.785411912944039,0.579,0.005,-390.9664536870973
26.1,-2.901602390435097,0.58,0.009,-376.5679630715405
26.8,-3.305402877580018,0.581,0.006,-382.0885147881345
38.7,-3.442334847482705,0.593,0.007,-414.5652969653708
44.1,-3.299588117144848,0.8,0.04,-436.5254520841442
42.9,-3.199998645691463,0.814,0.001,-398.1533759032944
42.4,-2.892211975303369,0.616,0.002,-344.1110330343155
42.3,-2.823846378488381,0.555,0.001,-383.0216031825475
39.0,-2.800794455355539,0.529,0.001,-376.3268537526918
36.9,-2.745220662907745,0.47,0.002,-382.6909471644595
40.5,-2.988541197786613,0.462,0.011,-396.506674358904
50.5,-2.926402794548653,0.454,0.003,-424.2100187667853
46.6,-3.097836481449816,0.441,0.012,-470.5493963769867
34.4,-3.037591958998702,0.381,0.007,-496.6217670807858
32.2,-3.14836845351259,0.379,0.037,-497.0304134662143
16.5,-3.055510337708202,0.373,0.046,-530.8737533716735
9.1,-3.000942336886686,0.418,0.056,-451.7587752702647
8.6,-3.061626211808687,0.367,0.051,-451.271446701446
11.1,-3.208620298419326,0.251,0.047,-504.2438613356842
6.9,-2.99824564668293,0.153,0.07,-562.1559354688303
-4.3,-2.942348145785475,0.21,0.173,-538.0472754377876
-11.9,-2.743810994238204,0.214,0.405,-610.1581802236282
-10.3,-2.695525996958522,0.139,0.267,-636.923250769726
-12.8,-2.779340132689905,0.189,0.468,-748.3913738402248
-22.6,-2.673868225830265,0.219,0.8,-664.5960517553435
-13.1,-2.715390191599291,0.375,0.834,-582.8073710098031
-4.7,-2.637594744170715,0.213,0.66,-524.768928026112
3.3,-2.100544218949808,0.214,0.739,-443.6335664969491
2.8,-2.041948881894553,0.194,0.59,-550.888174336266
0.2,-1.857358071854573,0.18,0.56,-519.8975511433844
-0.1,-1.646256529376458,0.08,0.582,-516.567495261034
-5.6,-1.591367585877739,0.048,0.663,-446.8729427102764
-3.0,-1.881166137036106,0.008,0.728,-527.9215691156008
1.6,-1.83184629328242,0.001,0.372,-616.3755739471867
4.3,-1.914392042852456,0.001,0.382,-670.6912105843468
2.0,-1.854744748148578,0.003,0.403,-647.1050772174171
5.1,-2.013593909853761,0.005,0.453,-690.5020813803662
10.6,-1.962437979963579,0.015,0.642,-675.3371835545317
10.6,-1.683122174734925,0.021,0.862,-573.8803329007798
9.4,-1.625201656909567,0.007,0.757,-573.2997244758387
11.0,-1.333262816105987,0.035,0.96,-457.4498078800867
9.2,-1.139307595783273,0.023,0.947,-481.920436388413
15.4,-1.127767745410708,0.045,0.996,-463.9355286896022
10.7,-1.164926216019397,0.055,0.999,-517.3371055386117
10.1,-1.256273738367647,0.049,0.995,-514.0433939560355
4.5,-1.018191815990144,0.049,1.0,-528.2220786704169
5.2,-1.035738841659553,0.031,0.983,-493.4232473048528
3.9,-1.176611800322259,0.026,0.979,-483.4360099515473
5.1,-1.095506254044653,0.026,0.979,-486.0330653812969
12.1,-1.205686001400083,0.026,0.979,-472.6127828653749
18.8,-1.026216135600312,0.026,0.979,-504.3653860731444
19.6,-1.028056971513461,0.026,0.979,-464.8004696938586
26.9,-1.090217957365955,0.026,0.979,-438.3891983264362
28.4,-1.062582173812535,0.026,0.979,-475.6720096909053
29.1,-1.419380684865089,0.026,0.979,-475.380775037374
29.2,-1.825221108482488,0.026,0.979,-494.8402210680824
30.9,-1.822999333066605,0.026,0.979,-449.2609487944009
33.9,-1.766272664307453,0.026,0.979,-480.8694014174656
35.2,-1.519941988352974,0.026,0.979,-546.6411023880149
38.5,-1.506367513510753,0.026,0.979,-573.5961086839876
40.1,-1.401960239332301,0.026,0.979,-507.0993332826632
32.7,-1.310854964343149,0.026,0.979,-541.0970093222156
29.6,-1.003189835421628,0.026,0.979,-509.3710711781464
30.5,-0.967414113428449,0.026,0.979,-536.6489515955935
26.2,-1.11718692788606,0.026,0.979,-524.9601639907075
21.2,-1.173228528836541,0.026,0.979,-537.2270427168339
12.6,-1.059691714564204,0.026,0.979,-612.4727121190518
4.2,-1.043956147930138,0.026,0.979,-615.4598966708472
3.5,-1.209507328872629,0.026,0.979,-611.3614550390462
5.8,-1.186092192874825,0.026,0.979,-563.3737948781292
-5.4,-1.149476209367059,0.026,0.979,-508.3109524321824
-5.1,-1.016650924702754,0.026,0.979,-483.0930510561137
-12.9,-1.023927371554932,0.026,0.979,-521.0033030852012
-8.5,-1.068009782848766,0.026,0.979,-500.2944273938845
-4.3,-1.065781010774679,0.026,0.979,-510.9705667054591
-2.5,-0.8102128770630067,0.026,0.979,-463.9170966940391
-7.0,-0.7629272776894471,0.026,0.979,-459.7074465356962
-4.0,-0.7335706645118888,0.026,0.979,-413.2841135828472
2.4,-0.7091891126599017,0.026,0.979,-445.1183240325241
8.1,-0.6989651492198004,0.026,0.979,-447.2320197446493
14.3,-0.7176462387236111,0.026,0.979,-499.240168755824
6.0,-0.69213445470323,0.026,0.979,-467.2676085318242
6.3,-0.6749476105983966,0.026,0.979,-446.4462771074602
7.2,-0.6741863462123555,0.026,0.979,-454.8506475691715
11.5,-0.8525883174328044,0.026,0.979,-454.1261373676032
11.0,-0.8201663074877624,0.026,0.979,-496.6008265792823
8.6,-0.6357372669180068,0.026,0.979,-526.3466444963136
18.6,-0.5875747239934738,0.026,0.979,-550.5301948487931
17.8,-0.5846361162135897,0.026,0.979,-546.1087048498208
17.8,-0.5846361162135897,0.026,0.979,-546.1087048498208
17.8,-0.5846361162135897,0.026,0.979,-546.1087048498208
17.8,-0.5846361162135897,0.026,0.979,-546.1087048498208
17.8,-0.5846361162135897,0.026,0.979,-546.1087048498208
17.8,-0.5846361162135897,0.026,0.979,-546.1087048498208
17.8,-0.5846361162135897,0.026,0.979,-546.1087048498208
17.8,-0.5846361162135897,0.026,0.979,-546.1087048498208
17.8,-0.5846361162135897,0.026,0.979,-546.1087048498208
17.8,-0.5846361162135897,0.026,0.979,-546.1087048498208
17.8,-0.5846361162135897,0.026,0.979,-546.1087048498208
17.8,-0.5846361162135897,0.026,0.979,-546.1087048498208
17.8,-0.5846361162135897,0.026,0.979,-546.1087048498208
17.8,-0.5846361162135897,0.026,0.979,-546.1087048498208
17.8,-0.5846361162135897,0.026,0.979,-546.1087048498208
17.8,-0.5846361162135897,0.026,0.979,-546.1087048498208
17.8,-0.5846361162135897,0.026,0.979,-546.1087048498208
17.8,-0.5846361162135897,0.026,0.979,-546.1087048498208
17.8,-0.5846361162135897,0.026,0.979,-546.1087048498208
17.8,-0.5846361162135897,0.026,0.979,-546.1087048498208
17.8,-0.5846361162135897,0.026,0.979,-546.1087048498208
17.8,-0.5846361162135897,0.026,0.979,-546.1087048498208
17.8,-0.5846361162135897,0.026,0.979,-546.1087048498208
17.8,-0.5846361162135897,0.026,0.979,-546.1087048498208
17.8,-0.5846361162135897,0.026,0.979,-546.1087048498208
17.8,-0.5846361162135897,0.026,0.979,-546.1087048498208
17.8,-0.5846361162135897,0.026,0.979,-546.1087048498208
